Время: 2025-05-16 13:51:46 | Горячие числа: ['4', '6', '24', '29'] | Выпало: 14 | ❌ Мимо | Профит: -2000 | Суммарный профит: -2000
Время: 2025-05-16 13:56:47 | Горячие числа: ['4', '6', '24', '36'] | Выпало: 36 | ✅ Победа | Профит: 16000 | Суммарный профит: 14000
Время: 2025-05-16 14:01:32 | Горячие числа: ['36', '4', '6', '24'] | Выпало: 14 | ❌ Мимо | Профит: -2000 | Суммарный профит: 12000
Время: 2025-05-16 14:06:43 | Горячие числа: ['36', '4', '6', '24'] | Выпало: 34 | ❌ Мимо | Профит: -2000 | Суммарный профит: 10000
Время: 2025-05-16 14:11:41 | Горячие числа: ['36', '4', '6', '24'] | Выпало: 21 | ❌ Мимо | Профит: -2000 | Суммарный профит: 8000
Время: 2025-05-16 14:56:30 | Горячие числа: ['6', '14', '24', '00'] | Выпало: 16 | ❌ Мимо | Профит: -2000 | Суммарный профит: 6000
Время: 2025-05-16 15:01:42 | Горячие числа: ['14', '24', '00', '0'] | Выпало: 13 | ❌ Мимо | Профит: -2000 | Суммарный профит: 4000
Время: 2025-05-16 15:06:38 | Горячие числа: ['14', '24', '00', '0'] | Выпало: 9 | ❌ Мимо | Профит: -2000 | Суммарный профит: 2000
Время: 2025-05-16 15:11:30 | Горячие числа: ['9', '14', '24', '00'] | Выпало: 26 | ❌ Мимо | Профит: -2000 | Суммарный профит: 0
Время: 2025-05-16 15:16:37 | Горячие числа: ['9', '14', '24', '00'] | Выпало: 00 | ✅ Победа | Профит: 16000 | Суммарный профит: 16000
Время: 2025-05-16 15:21:39 | Горячие числа: ['00', '9', '14', '0'] | Выпало: 00 | ✅ Победа | Профит: 16000 | Суммарный профит: 32000
Время: 2025-05-16 15:26:43 | Горячие числа: ['00', '9', '14', '0'] | Выпало: 2 | ❌ Мимо | Профит: -2000 | Суммарный профит: 30000
Время: 2025-05-16 15:31:40 | Горячие числа: ['00', '9', '14', '2'] | Выпало: 5 | ❌ Мимо | Профит: -2000 | Суммарный профит: 28000
Время: 2025-05-16 15:36:40 | Горячие числа: ['00', '9', '14', '2'] | Выпало: 2 | ✅ Победа | Профит: 16000 | Суммарный профит: 44000
Время: 2025-05-16 15:41:38 | Горячие числа: ['00', '2', '14', '5'] | Выпало: 32 | ❌ Мимо | Профит: -2000 | Суммарный профит: 42000
